,room_id,host_id,room_type,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude
1300,3907584,20238921,Shared room,,2,5,1,1,28,1,35.69965,139.776153
1301,3910692,16700954,Entire home/apt,34,5,,3,1,220,2,35.723868,139.76324
1302,3914230,19828657,Private room,3,4.5,2,1,1,22,4,35.68289,139.681486
1303,3917360,17178621,Private room,28,4,2,1,1,30,1,35.682119,139.680988
1304,3925416,20336856,Entire home/apt,38,4.5,,4,3,66,2,35.687585,139.781355
1305,3925482,6304928,Entire home/apt,27,5,2,1,1,60,2,35.717252,139.635132
1306,3925953,18841342,Private room,,,1,1,1,26,3,35.706988,139.801417
1307,3926433,19553919,Private room,,5,1,1,1,43,3,35.735057,139.635765
1308,3928112,14524257,Entire home/apt,30,4.5,5,2,1,98,2,35.678491,139.705889
1309,3928791,16770589,Entire home/apt,32,5,5,2,1,210,,35.656013,139.752681
1310,3930794,4799233,Entire home/apt,9,4.5,2,1,1,56,4,35.707866,139.696056
1311,3932529,6849455,Entire home/apt,19,5,5,2,1,172,2,35.668565,139.728954
1312,3934558,20190740,Entire home/apt,33,4.5,5,1,1,121,,35.671819,139.741051
1313,3935067,19924875,Entire home/apt,25,5,2,1,1,155,2,35.661105,139.700027
1314,3936182,20393390,Entire home/apt,54,5,4,1,1,69,2,35.674371,139.669795
1315,3940924,18130715,Entire home/apt,14,5,,4,1,280,3,35.708917,139.686878
1316,3941150,16415694,Entire home/apt,24,4.5,3,1,1,75,2,35.69646,139.686741
1317,3941384,20158648,Private room,,4.5,2,1,1,33,1,35.729287,139.684064
1318,3943561,1107387,Shared room,11,5,1,1,1,39,1,35.655191,139.655204
1319,3947059,6809418,Entire home/apt,4,5,2,1,1,120,1,35.649768,139.722176
1320,3947591,14906609,Entire home/apt,61,4.5,3,1,1,85,,35.698391,139.693595
1321,3949049,15540176,Private room,,4.5,4,1,1,41,1,35.597431,139.669752
1322,3953608,7561876,Entire home/apt,7,4.5,2,1,1,86,3,35.644909,139.723865
1323,3953692,7561876,Entire home/apt,,4.5,2,2,1,86,1,35.64696,139.723604
1324,3953756,20493781,Private room,7,4.5,1,1,0.5,39,3,35.657367,139.735673
1325,3953882,20493781,Private room,6,4.5,1,1,0.5,39,2,35.658937,139.735788
1326,3955372,20501117,Entire home/apt,39,4.5,2,1,1,85,2,35.658448,139.707024
1327,3955749,20501117,Entire home/apt,42,4.5,2,1,1,79,2,35.645366,139.70938
1328,3956263,4847803,Entire home/apt,19,5,,2,1,120,5,35.677471,139.680636
1329,3962471,20535854,Private room,19,4.5,2,1,1,24,2,35.735251,139.723886
1330,3963014,14487335,Private room,27,4.5,2,1,1,39,2,35.655808,139.675371
1331,3963770,1114915,Shared room,61,4,3,1,1,16,1,35.755334,139.695806
1332,3971739,13765829,Entire home/apt,57,4.5,4,1,1,77,2,35.647131,139.71372
1333,3972299,151977,Entire home/apt,20,5,4,1,1,91,,35.684177,139.698282
1334,3972396,14524257,Entire home/apt,33,4.5,5,0,1,109,2,35.672518,139.769121
1335,3974480,19325245,Entire home/apt,54,5,3,1,1.5,78,2,35.657704,139.696263
1336,3975568,15846256,Private room,8,4.5,2,1,1,34,1,35.688456,139.603227
1337,3980542,18902349,Private room,3,5,4,1,2,39,4,35.69147,139.687826
1338,3983004,12014384,Private room,,5,,1,2,180,2,35.743892,139.770886
1339,3983313,12014384,Private room,,3,4,1,4,60,3,35.742372,139.772076
1340,3984115,16986256,Private room,7,2.5,2,1,1,28,1,35.662518,139.648982
1341,3987236,17431611,Shared room,,5,2,1,1,65,1,35.645515,139.800788
