accommodates,bedrooms,bathrooms,minstay,latitude,longitude,Entire home/apt,Private room,Shared room
6,1.0,1.0,1.0,37.555152,126.970487,1.0,0.0,0.0
2,0.0,1.0,4.0,37.570675,127.04859599999999,1.0,0.0,0.0
2,1.0,1.0,5.0,37.464058,126.937523,0.0,1.0,0.0
4,1.0,1.0,7.0,37.502659,127.04164899999999,1.0,0.0,0.0
3,1.0,1.0,1.0,37.563662,127.014665,0.0,1.0,0.0
2,1.0,1.0,2.0,37.496705,127.03623,1.0,0.0,0.0
5,2.0,1.0,3.0,37.507714,127.042899,1.0,0.0,0.0
6,1.0,1.0,1.0,37.556103,126.923154,0.0,1.0,0.0
2,1.0,1.0,2.0,37.567845,126.81756599999999,1.0,0.0,0.0
4,0.0,1.0,3.0,37.494038,127.03017,1.0,0.0,0.0
4,1.0,1.0,1.0,37.652834000000006,127.04668899999999,1.0,0.0,0.0
3,1.0,1.0,1.0,37.533611,126.99301499999999,0.0,1.0,0.0
1,1.0,1.0,1.0,37.554305,126.916454,0.0,1.0,0.0
1,1.0,1.0,1.0,37.555819,126.90605500000001,1.0,0.0,0.0
1,1.0,1.0,1.0,37.554187,126.935126,0.0,1.0,0.0
1,1.0,1.0,5.0,37.566586,126.93904599999999,0.0,1.0,0.0
10,4.0,2.0,1.0,37.580391999999996,126.985153,1.0,0.0,0.0
8,3.0,2.0,1.0,37.540782,126.970128,1.0,0.0,0.0
7,1.0,1.0,2.0,37.547368,126.95240600000001,1.0,0.0,0.0
2,1.0,1.0,1.0,37.576281,126.985964,1.0,0.0,0.0
3,1.0,1.0,3.0,37.565131,127.02127,1.0,0.0,0.0
2,1.0,1.0,2.0,37.575495000000004,126.98657800000001,1.0,0.0,0.0
1,1.0,1.0,2.0,37.558547,126.925472,1.0,0.0,0.0
2,1.0,1.0,1.0,37.578936,126.969071,0.0,1.0,0.0
6,1.0,1.0,2.0,37.562717,126.99054199999999,1.0,0.0,0.0
2,1.0,1.0,2.0,37.518966999999996,127.027841,0.0,1.0,0.0
2,1.0,1.0,1.0,37.533303000000004,127.010314,0.0,1.0,0.0
3,1.0,1.0,3.0,37.563769,127.037498,1.0,0.0,0.0
4,1.0,1.0,1.0,37.498560999999995,127.030382,1.0,0.0,0.0
2,1.0,1.0,1.0,37.544701,126.928602,0.0,1.0,0.0
2,1.0,1.0,2.0,37.553636,126.927948,0.0,1.0,0.0
5,2.0,1.0,1.0,37.569359000000006,126.98633600000001,1.0,0.0,0.0
4,1.0,1.0,1.0,37.560753999999996,126.92546999999999,0.0,1.0,0.0
2,1.0,1.0,1.0,37.545662,126.96744299999999,1.0,0.0,0.0
3,1.0,1.0,2.0,37.497202,127.02816599999998,1.0,0.0,0.0
6,0.0,1.0,2.0,37.551152,126.915668,1.0,0.0,0.0
3,1.0,0.0,1.0,37.575072,127.018052,0.0,1.0,0.0
6,0.0,1.0,2.0,37.556112,126.92213999999998,1.0,0.0,0.0
4,1.0,1.0,3.0,37.507014,127.030557,1.0,0.0,0.0
1,1.0,0.0,1.0,37.558383,126.911768,0.0,0.0,1.0
2,1.0,1.0,2.0,37.51293,127.03197,0.0,1.0,0.0
3,0.0,1.0,2.0,37.498982,127.02960900000001,1.0,0.0,0.0
1,1.0,1.0,1.0,37.547148,126.97792199999999,0.0,1.0,0.0
2,1.0,2.0,1.0,37.510068,127.010855,0.0,1.0,0.0
3,1.0,1.0,1.0,37.564085,127.002412,0.0,1.0,0.0
8,1.0,2.0,1.0,37.565411,126.922372,0.0,0.0,1.0
5,2.0,1.0,2.0,37.554941,126.969517,1.0,0.0,0.0
5,0.0,1.0,2.0,37.554645,126.969678,1.0,0.0,0.0
1,1.0,1.0,1.0,37.532769,126.999656,0.0,1.0,0.0
1,1.0,2.0,15.0,37.554395,126.91955800000001,0.0,1.0,0.0
3,1.0,1.0,2.0,37.554393,126.92189099999999,1.0,0.0,0.0
6,3.0,1.0,1.0,37.539914,126.98828799999998,1.0,0.0,0.0
3,1.0,1.0,2.0,37.502508,126.88379099999999,1.0,0.0,0.0
6,2.0,1.0,2.0,37.561603999999996,126.92180800000001,1.0,0.0,0.0
3,1.0,1.0,2.0,37.565115000000006,126.91754399999999,0.0,1.0,0.0
4,1.0,1.0,1.0,37.537599,126.96816100000001,1.0,0.0,0.0
3,0.0,1.0,12.0,37.550278000000006,126.92067800000001,1.0,0.0,0.0
2,0.0,1.0,1.0,37.533369,127.075084,1.0,0.0,0.0
3,1.0,1.0,1.0,37.482929999999996,126.954321,0.0,1.0,0.0
1,0.0,1.0,1.0,37.558919,126.939371,1.0,0.0,0.0
2,1.0,1.0,1.0,37.511485,127.08640600000001,0.0,1.0,0.0
4,3.0,1.0,2.0,37.500237,127.001272,1.0,0.0,0.0
2,1.0,1.0,2.0,37.560826,126.922251,1.0,0.0,0.0
5,1.0,1.0,2.0,37.552644,126.92149599999999,1.0,0.0,0.0
1,1.0,1.0,1.0,37.506663,127.039651,0.0,1.0,0.0
4,1.0,1.0,3.0,37.505721,127.030905,1.0,0.0,0.0
3,1.0,1.0,3.0,37.519814000000004,127.045548,0.0,1.0,0.0
2,1.0,1.0,1.0,37.57858,126.98028500000001,0.0,1.0,0.0
2,1.0,2.0,1.0,37.563047,126.922908,0.0,1.0,0.0
